miRNA_ID,n_samples,n_disease,n_benign,accuracy,auc,mean_prob
hsa-mir-762,5,5,0,0.8,,0.502
hsa-mir-520h,5,3,2,0.6,0.1667,0.9581
hsa-mir-518f,5,5,0,1.0,,0.9727
hsa-mir-410,5,5,0,0.8,,0.5588
hsa-mir-629,5,3,2,0.4,0.3333,0.3953
hsa-mir-8074,5,1,4,0.2,0.0,0.4822
hsa-mir-10b,5,5,0,0.8,,0.61
hsa-mir-650,5,2,3,0.2,0.1667,0.4971
hsa-mir-541,5,5,0,0.4,,0.4893
hsa-mir-513a-2,5,5,0,0.2,,0.4648
hsa-mir-211,5,4,1,0.2,0.25,0.1264
hsa-mir-506,5,5,0,0.0,,0.4192
hsa-mir-7-2,5,4,1,0.2,0.5,0.3053
hsa-mir-223,5,5,0,1.0,,0.7246
hsa-mir-1283-2,5,5,0,1.0,,0.8776
hsa-mir-379,5,5,0,0.0,,0.2359
hsa-mir-888,5,3,2,0.4,0.3333,0.5419
hsa-mir-517c,5,5,0,1.0,,0.9215
hsa-mir-105-1,5,5,0,1.0,,0.7149
hsa-mir-519a-1,5,5,0,1.0,,0.8896
hsa-mir-527,5,5,0,1.0,,0.8177
hsa-mir-524,5,5,0,1.0,,0.8564
hsa-mir-411,5,5,0,0.0,,0.4219
hsa-mir-4260,5,4,1,0.2,0.0,0.1801
hsa-mir-1179,5,5,0,1.0,,0.834
hsa-mir-548i-1,5,3,2,0.6,0.0,0.6373
hsa-mir-1324,5,0,5,1.0,,0.4326
hsa-mir-4472-2,5,0,5,1.0,,0.3345
hsa-mir-424,5,5,0,0.4,,0.47
hsa-mir-4507,5,5,0,0.0,,0.3411
hsa-mir-711,5,5,0,0.2,,0.4558
hsa-mir-431,5,5,0,0.8,,0.5316
hsa-mir-1287,5,5,0,0.6,,0.5323
hsa-mir-585,5,0,5,0.0,,0.7304
hsa-mir-489,5,5,0,0.2,,0.4242
hsa-mir-4273,5,1,4,1.0,1.0,0.4831
hsa-mir-516b-1,5,4,1,0.8,1.0,0.9781
hsa-mir-658,5,2,3,0.4,0.5,0.5969
hsa-mir-542,4,4,0,0.0,,0.3241
hsa-mir-518a-1,4,4,0,1.0,,0.9571
hsa-mir-1293,4,1,3,0.75,0.0,0.3879
hsa-mir-1247,4,4,0,1.0,,0.6927
hsa-mir-654,4,3,1,0.75,1.0,0.8971
hsa-mir-548h-3,4,0,4,0.5,,0.51
hsa-mir-3908,4,1,3,0.25,0.6667,0.8916
hsa-mir-3689a,4,3,1,0.25,0.6667,0.3542
hsa-mir-3175,4,1,3,0.5,0.3333,0.605
hsa-mir-569,4,3,1,0.25,0.0,0.3662
hsa-mir-373,4,4,0,1.0,,0.6399
hsa-mir-148b,4,4,0,0.75,,0.5637
hsa-mir-4783,4,1,3,0.25,0.0,0.6894
hsa-mir-433,4,4,0,0.0,,0.3032
hsa-mir-4539,4,3,1,0.75,0.6667,0.5015
hsa-mir-655,4,4,0,1.0,,0.7452
hsa-mir-4719,4,0,4,1.0,,0.3844
hsa-mir-124-2,4,4,0,1.0,,0.9356
hsa-mir-3652,4,3,1,0.25,0.6667,0.1135
hsa-mir-3195,4,2,2,0.75,0.75,0.5535
hsa-mir-939,4,4,0,1.0,,0.6727
hsa-mir-208b,4,4,0,0.0,,0.4288
hsa-mir-142,4,4,0,0.5,,0.4385
hsa-mir-320a,4,4,0,0.0,,0.2036
hsa-mir-3936,4,1,3,0.25,0.0,0.8573
hsa-mir-595,4,2,2,0.5,1.0,0.2268
hsa-mir-5189,4,0,4,0.0,,0.7557
hsa-mir-3615,4,3,1,0.75,1.0,0.6318
hsa-mir-7-3,4,3,1,0.75,1.0,0.7631
hsa-mir-4482,4,1,3,0.25,0.0,0.6403
hsa-mir-4741,4,0,4,1.0,,0.4077
hsa-mir-499a,4,1,3,0.25,0.3333,0.7095
hsa-mir-940,4,4,0,0.0,,0.4096
hsa-mir-523,4,4,0,1.0,,0.9624
hsa-mir-4289,4,0,4,1.0,,0.2701
hsa-mir-659,4,4,0,0.5,,0.4945
hsa-mir-29b-1,4,4,0,1.0,,0.8247
hsa-mir-154,4,4,0,1.0,,0.8819
hsa-mir-509-2,4,3,1,0.75,0.0,0.6873
hsa-mir-516a-1,4,4,0,1.0,,0.9119
hsa-mir-943,4,4,0,0.5,,0.5022
hsa-mir-8055,4,0,4,0.0,,0.586
hsa-mir-144,4,4,0,0.25,,0.4836
hsa-mir-127,4,4,0,0.0,,0.3096
hsa-mir-890,4,3,1,0.75,0.6667,0.5636
hsa-mir-7108,4,1,3,1.0,1.0,0.4986
hsa-mir-485,4,4,0,0.0,,0.3963
hsa-mir-30e,4,3,1,0.5,0.6667,0.5076
hsa-mir-498,4,4,0,1.0,,0.59
hsa-mir-3661,4,4,0,1.0,,0.6303
hsa-mir-136,4,4,0,0.0,,0.2334
hsa-mir-23a,4,4,0,0.0,,0.2084
hsa-mir-671,4,4,0,0.75,,0.5085
hsa-mir-1302-9,4,1,3,0.75,1.0,0.4071
hsa-mir-519d,4,3,1,0.75,1.0,0.7367
hsa-mir-6511b-1,4,3,1,0.25,0.0,0.5473
hsa-mir-892b,4,3,1,0.75,0.6667,0.5647
hsa-mir-1251,4,4,0,0.0,,0.4196
hsa-mir-4743,4,2,2,0.5,0.5,0.4439
hsa-mir-11400,4,1,3,0.75,1.0,0.5433
hsa-mir-6084,4,4,0,0.0,,0.391
hsa-mir-218-2,4,4,0,0.0,,0.4607
hsa-mir-4669,4,0,4,0.0,,0.7374
hsa-mir-21,4,4,0,0.0,,0.4166
hsa-mir-196a-2,4,3,1,0.25,0.3333,0.4439
hsa-mir-133b,4,4,0,1.0,,0.6385
hsa-mir-662,4,2,2,0.5,0.25,0.5291
hsa-mir-3909,4,2,2,0.5,0.75,0.4172
hsa-mir-520c,4,3,1,0.75,0.6667,0.9827
hsa-mir-4285,4,0,4,1.0,,0.4145
hsa-mir-10394,4,4,0,0.0,,0.4325
hsa-mir-10527,4,1,3,0.5,0.0,0.4829
hsa-mir-4706,4,0,4,0.0,,0.6446
hsa-mir-1304,4,1,3,0.25,1.0,0.7476
hsa-mir-99a,4,4,0,1.0,,0.7102
hsa-mir-526a-2,4,3,1,1.0,1.0,0.5512
hsa-mir-604,4,0,4,0.0,,0.5974
hsa-mir-329-2,4,4,0,1.0,,0.9108
hsa-mir-9718,4,4,0,0.0,,0.357
hsa-mir-190b,3,3,0,1.0,,0.5672
hsa-mir-450a-2,3,3,0,0.0,,0.3637
hsa-mir-3126,3,0,3,0.0,,0.5145
hsa-mir-675,3,3,0,0.0,,0.317
hsa-mir-3170,3,0,3,1.0,,0.2011
hsa-mir-3192,3,1,2,0.3333,0.5,0.585
hsa-mir-6759,3,3,0,0.0,,0.2121
hsa-mir-636,3,2,1,0.6667,0.5,0.4145
hsa-mir-1262,3,0,3,1.0,,0.4646
hsa-mir-1289-1,3,3,0,1.0,,0.8948
hsa-mir-612,3,3,0,0.0,,0.3357
hsa-mir-329-1,3,3,0,0.0,,0.2135
hsa-mir-500b,3,2,1,0.6667,0.0,0.769
hsa-mir-1268b,3,0,3,1.0,,0.3454
hsa-mir-1178,3,1,2,0.6667,0.0,0.2628
hsa-mir-548ad,3,0,3,1.0,,0.2567
hsa-mir-1233-2,3,0,3,1.0,,0.1543
hsa-mir-300,3,3,0,0.3333,,0.4708
hsa-mir-1909,3,2,1,0.6667,0.0,0.7399
hsa-mir-1238,3,3,0,0.0,,0.4204
hsa-mir-135a-1,3,3,0,1.0,,0.6407
hsa-mir-6076,3,0,3,0.0,,0.527
hsa-mir-607,3,1,2,0.6667,0.0,0.4181
hsa-mir-1265,3,0,3,1.0,,0.2171
hsa-mir-3689c,3,0,3,0.0,,0.5717
hsa-mir-95,3,3,0,0.6667,,0.5053
hsa-mir-4746,3,2,1,0.3333,1.0,0.4142
hsa-mir-520g,3,3,0,1.0,,0.8
hsa-mir-653,3,3,0,0.0,,0.3727
hsa-mir-328,3,2,1,0.3333,1.0,0.4682
hsa-mir-222,3,3,0,0.3333,,0.4556
hsa-mir-134,3,3,0,0.0,,0.4907
hsa-mir-519b,3,3,0,1.0,,0.8591
hsa-mir-3679,3,0,3,0.0,,0.5095
hsa-mir-548j,3,2,1,0.6667,1.0,0.4829
hsa-mir-487b,3,3,0,0.6667,,0.5075
hsa-mir-501,3,1,2,0.3333,0.0,0.7199
hsa-mir-200a,3,3,0,1.0,,0.7599
hsa-mir-664a,3,2,1,1.0,1.0,0.5129
hsa-mir-2392,3,0,3,1.0,,0.4174
hsa-mir-765,3,3,0,1.0,,0.6886
hsa-mir-4694,3,0,3,0.6667,,0.4929
hsa-mir-635,3,2,1,0.3333,0.5,0.6279
hsa-mir-5700,3,0,3,1.0,,0.1645
hsa-mir-4467,3,0,3,1.0,,0.3643
hsa-mir-8088,3,0,3,0.0,,0.7162
hsa-mir-518c,3,3,0,1.0,,0.9561
hsa-mir-3689d-2,3,2,1,0.6667,0.5,0.9175
hsa-mir-519c,3,3,0,1.0,,0.9016
hsa-mir-8071-2,3,0,3,1.0,,0.2703
hsa-mir-4431,3,0,3,1.0,,0.3748
hsa-mir-4709,3,3,0,0.3333,,0.4149
hsa-mir-548i-3,3,1,2,0.3333,1.0,0.738
hsa-mir-221,3,3,0,1.0,,0.9256
hsa-mir-6886,3,3,0,0.0,,0.3955
hsa-mir-602,3,1,2,0.3333,0.0,0.796
hsa-mir-548al,3,0,3,0.6667,,0.4325
hsa-mir-4762,3,0,3,1.0,,0.3187
hsa-mir-518a-2,3,3,0,1.0,,0.9511
hsa-mir-5196,3,3,0,1.0,,0.9257
hsa-mir-8485,3,0,3,1.0,,0.4307
hsa-mir-8061,3,2,1,0.3333,1.0,0.3252
hsa-mir-3074,3,3,0,0.0,,0.2305
hsa-mir-1285-2,3,1,2,0.6667,0.5,0.3485
hsa-mir-514a-1,3,1,2,0.3333,1.0,0.6235
hsa-mir-587,3,3,0,1.0,,0.6931
hsa-mir-371a,3,3,0,0.6667,,0.5255
hsa-mir-26a-1,3,3,0,0.6667,,0.505
hsa-mir-3143,3,1,2,0.6667,0.0,0.215
hsa-mir-503,3,3,0,0.3333,,0.4629
hsa-mir-16-1,3,1,2,0.6667,1.0,0.695
hsa-mir-548ap,3,0,3,1.0,,0.131
hsa-mir-8058,3,0,3,1.0,,0.2252
hsa-mir-548ao,3,1,2,0.6667,1.0,0.5843
hsa-mir-2114,3,1,2,0.6667,0.5,0.2399
hsa-mir-8071-1,3,0,3,1.0,,0.1678
hsa-mir-1182,3,3,0,0.0,,0.4711
hsa-mir-618,3,2,1,1.0,1.0,0.5419
hsa-mir-4738,3,1,2,0.6667,0.0,0.1246
hsa-mir-497,3,3,0,1.0,,0.9497
hsa-mir-647,3,0,3,1.0,,0.1772
hsa-mir-3118-2,3,0,3,0.0,,0.6434
hsa-mir-1231,3,1,2,0.3333,1.0,0.6565
hsa-mir-30d,3,3,0,0.0,,0.3329
hsa-mir-6719,3,1,2,0.3333,0.0,0.5471
hsa-mir-510,3,3,0,0.0,,0.4617
hsa-mir-4632,3,3,0,0.0,,0.2079
hsa-mir-5589,3,1,2,0.6667,0.5,0.1532
hsa-mir-299,3,3,0,0.0,,0.4035
hsa-mir-522,3,3,0,1.0,,0.7341
hsa-mir-770,3,3,0,1.0,,0.7071
hsa-mir-3117,3,2,1,0.3333,0.5,0.2657
hsa-mir-6511b-2,3,0,3,1.0,,0.2289
hsa-mir-4522,3,1,2,0.3333,0.0,0.7602
hsa-mir-122,3,2,1,0.6667,0.5,0.7247
hsa-mir-449a,3,2,1,0.6667,0.5,0.6085
hsa-mir-578,3,2,1,0.3333,0.0,0.135
hsa-mir-1279,3,3,0,0.0,,0.2914
hsa-mir-106b,3,2,1,0.6667,1.0,0.6688
hsa-mir-106a,3,2,1,0.6667,0.0,0.795
hsa-mir-516b-2,3,3,0,1.0,,0.8189
hsa-mir-12113,3,0,3,1.0,,0.4023
hsa-mir-638,3,3,0,0.0,,0.3632
hsa-mir-4485,3,2,1,0.3333,0.0,0.3936
hsa-mir-11401,3,0,3,1.0,,0.358
hsa-mir-548ak,3,0,3,1.0,,0.337
hsa-mir-621,3,1,2,0.3333,1.0,0.6546
hsa-mir-449b,3,2,1,0.3333,0.0,0.3751
hsa-mir-202,3,0,3,0.3333,,0.5155
hsa-mir-6741,3,2,1,0.3333,0.0,0.2952
hsa-mir-181a-1,3,3,0,1.0,,0.6529
hsa-mir-6529,3,0,3,0.0,,0.8298
hsa-mir-521-2,3,2,1,0.6667,1.0,0.8999
hsa-mir-369,3,3,0,0.6667,,0.5864
hsa-mir-543,3,3,0,1.0,,0.6656
hsa-mir-6796,3,0,3,1.0,,0.2478
hsa-mir-590,3,2,1,0.0,0.0,0.4777
hsa-mir-6859-1,3,0,3,1.0,,0.1664
hsa-mir-525,3,2,1,0.6667,0.0,0.8001
hsa-mir-194-2,2,1,1,0.5,0.0,0.4504
hsa-mir-7706,2,0,2,0.0,,0.6393
hsa-mir-6811,2,0,2,1.0,,0.3258
hsa-mir-4293,2,0,2,1.0,,0.403
hsa-mir-580,2,1,1,0.0,0.0,0.5235
hsa-mir-98,2,2,0,1.0,,0.5588
hsa-mir-520d,2,2,0,1.0,,0.9134
hsa-mir-1248,2,2,0,0.0,,0.3955
hsa-mir-125b-1,2,2,0,1.0,,0.5327
hsa-mir-4799,2,0,2,0.0,,0.6763
hsa-mir-217,2,0,2,1.0,,0.2274
hsa-mir-4281,2,1,1,0.5,1.0,0.2769
hsa-mir-3662,2,1,1,0.5,1.0,0.188
hsa-mir-539,2,2,0,1.0,,0.7289
hsa-mir-190a,2,2,0,1.0,,0.6022
hsa-mir-6755,2,2,0,0.5,,0.5415
hsa-mir-1229,2,1,1,0.5,0.0,0.2562
hsa-mir-6846,2,2,0,0.0,,0.3408
hsa-mir-4277,2,0,2,1.0,,0.273
hsa-mir-1185-2,2,2,0,1.0,,0.7221
hsa-mir-4497,2,1,1,0.5,0.0,0.5407
hsa-mir-496,2,2,0,1.0,,0.986
hsa-mir-3928,2,0,2,1.0,,0.2644
hsa-mir-1228,2,1,1,0.5,1.0,0.4029
hsa-mir-3180-5,2,0,2,0.5,,0.5188
hsa-mir-452,2,2,0,0.0,,0.396
hsa-mir-183,2,2,0,0.5,,0.4748
hsa-mir-337,2,2,0,0.0,,0.4608
hsa-mir-3911,2,1,1,0.5,0.0,0.442
hsa-mir-7162,2,2,0,0.0,,0.3886
hsa-mir-1303,2,0,2,0.0,,0.7348
hsa-mir-3682,2,1,1,0.5,1.0,0.4717
hsa-mir-4253,2,1,1,1.0,1.0,0.4779
hsa-mir-3183,2,0,2,0.5,,0.4803
hsa-mir-7111,2,0,2,1.0,,0.3586
hsa-mir-6127,2,2,0,0.5,,0.4994
hsa-mir-4309,2,0,2,1.0,,0.3069
hsa-mir-7705,2,1,1,0.5,1.0,0.2765
hsa-mir-3135a,2,0,2,1.0,,0.2284
hsa-mir-376c,2,2,0,0.0,,0.3709
hsa-mir-4680,2,1,1,0.0,0.0,0.6066
hsa-mir-3689d-1,2,1,1,0.5,1.0,0.7373
hsa-mir-1539,2,1,1,0.5,1.0,0.1613
hsa-mir-5087,2,0,2,1.0,,0.4635
hsa-mir-597,2,0,2,0.5,,0.5479
hsa-mir-1290,2,0,2,1.0,,0.3287
hsa-mir-339,2,1,1,0.5,0.0,0.697
hsa-mir-6762,2,1,1,0.5,1.0,0.2594
hsa-mir-4651,2,1,1,0.5,0.0,0.3746
hsa-mir-6754,2,2,0,1.0,,0.6338
hsa-mir-12136,2,1,1,0.5,0.0,0.4096
hsa-mir-4521,2,1,1,0.5,1.0,0.4086
hsa-mir-892a,2,2,0,1.0,,0.7021
hsa-mir-6805,2,0,2,1.0,,0.351
hsa-mir-2277,2,0,2,1.0,,0.4774
hsa-mir-421,2,1,1,0.5,0.0,0.3335
hsa-mir-185,2,2,0,0.0,,0.2401
hsa-mir-4638,2,0,2,1.0,,0.2742
hsa-mir-3689e,2,2,0,0.0,,0.2393
hsa-mir-1292,2,1,1,0.5,0.0,0.4187
hsa-mir-548l,2,0,2,1.0,,0.0704
hsa-mir-577,2,0,2,1.0,,0.4102
hsa-mir-1199,2,1,1,0.5,1.0,0.2625
hsa-mir-4782,2,0,2,1.0,,0.3626
hsa-mir-4737,2,0,2,1.0,,0.1664
hsa-mir-4797,2,2,0,0.5,,0.4806
hsa-mir-198,2,2,0,0.0,,0.2991
hsa-mir-17,2,2,0,1.0,,0.8607
hsa-mir-6892,2,0,2,0.0,,0.6045
hsa-mir-5193,2,0,2,1.0,,0.435
hsa-mir-4740,2,2,0,0.0,,0.3831
hsa-mir-3714,2,0,2,0.5,,0.5067
hsa-mir-1276,2,2,0,1.0,,0.7459
hsa-mir-1255b-1,2,0,2,1.0,,0.2669
hsa-mir-1269b,2,0,2,1.0,,0.1585
hsa-mir-4318,2,0,2,1.0,,0.2697
hsa-mir-6736,2,1,1,0.5,0.0,0.3277
hsa-mir-12119,2,0,2,1.0,,0.3945
hsa-mir-10392,2,1,1,0.5,0.0,0.4444
hsa-mir-4432,2,0,2,1.0,,0.461
hsa-mir-495,2,2,0,1.0,,0.7198
hsa-mir-6776,2,1,1,0.5,0.0,0.2892
hsa-mir-6743,2,1,1,0.5,1.0,0.3132
hsa-mir-3142,2,0,2,1.0,,0.3128
hsa-mir-3124,2,0,2,1.0,,0.2326
hsa-mir-668,2,2,0,0.5,,0.4702
hsa-mir-7150,2,0,2,1.0,,0.1495
hsa-mir-570,2,1,1,0.5,1.0,0.291
hsa-mir-6721,2,2,0,0.0,,0.2419
hsa-mir-320b-1,2,2,0,0.0,,0.4127
hsa-mir-3144,2,0,2,0.0,,0.5148
hsa-mir-6785,2,2,0,0.5,,0.4963
hsa-mir-92a-1,2,1,1,0.5,0.0,0.795
hsa-mir-567,2,2,0,0.0,,0.1362
hsa-mir-3176,2,0,2,1.0,,0.2234
hsa-mir-5682,2,0,2,1.0,,0.2536
hsa-mir-450a-1,2,2,0,1.0,,0.7746
hsa-mir-186,2,2,0,0.0,,0.434
hsa-mir-324,2,2,0,0.0,,0.2659
hsa-mir-4264,2,1,1,0.5,0.0,0.3067
hsa-mir-412,2,0,2,0.5,,0.4979
hsa-mir-1343,2,0,2,0.0,,0.5082
hsa-mir-1255a,2,0,2,0.0,,0.8998
hsa-let-7c,2,2,0,0.5,,0.4988
hsa-mir-3978,2,0,2,1.0,,0.4714
hsa-mir-5688,2,0,2,0.0,,0.5659
hsa-mir-451a,2,2,0,0.0,,0.4411
hsa-mir-494,2,2,0,1.0,,0.6333
hsa-mir-616,2,2,0,0.5,,0.4623
hsa-mir-5681a,2,0,2,0.0,,0.5882
hsa-mir-4658,2,2,0,0.0,,0.2264
hsa-mir-486-1,2,2,0,0.0,,0.338
hsa-mir-6826,2,0,2,1.0,,0.4253
hsa-mir-33a,2,2,0,0.0,,0.4387
hsa-mir-6717,2,0,2,1.0,,0.4108
hsa-mir-492,2,1,1,0.5,1.0,0.7154
hsa-mir-1208,2,0,2,1.0,,0.4044
hsa-mir-512-1,2,0,2,0.0,,0.6849
hsa-mir-3612,2,0,2,1.0,,0.419
hsa-mir-24-2,2,2,0,1.0,,0.6183
hsa-mir-4636,2,0,2,1.0,,0.1397
hsa-mir-3188,2,1,1,0.5,0.0,0.7804
hsa-mir-1233-1,2,0,2,1.0,,0.3313
hsa-mir-199b,2,1,1,0.5,0.0,0.7396
hsa-mir-5194,2,1,1,0.5,0.0,0.5355
hsa-mir-6766,2,1,1,0.5,1.0,0.4861
hsa-mir-589,2,0,2,0.0,,0.5985
hsa-mir-4786,2,0,2,0.0,,0.5504
hsa-mir-4681,2,0,2,1.0,,0.1938
hsa-mir-6082,2,0,2,1.0,,0.4268
hsa-mir-3166,2,1,1,0.5,0.0,0.5963
hsa-mir-4453,2,1,1,0.5,1.0,0.8325
hsa-mir-92a-2,2,2,0,1.0,,0.6497
hsa-mir-10396a,2,0,2,1.0,,0.3189
hsa-mir-6753,2,2,0,0.0,,0.481
hsa-mir-4725,2,0,2,0.5,,0.587
hsa-mir-6131,2,0,2,1.0,,0.4665
hsa-mir-372,2,2,0,0.0,,0.288
hsa-mir-7846,2,0,2,1.0,,0.3819
hsa-mir-548o,2,1,1,0.5,1.0,0.3808
hsa-mir-3690-1,2,0,2,1.0,,0.3156
hsa-mir-922,2,1,1,1.0,1.0,0.4653
hsa-mir-105-2,2,2,0,0.5,,0.5064
hsa-mir-9851,2,1,1,0.5,0.0,0.5359
hsa-mir-8067,2,0,2,1.0,,0.2488
hsa-mir-1206,2,1,1,0.5,1.0,0.3344
hsa-mir-12124,2,0,2,1.0,,0.4699
hsa-mir-143,2,2,0,0.0,,0.4039
hsa-mir-99b,2,2,0,0.0,,0.2928
hsa-mir-8064,2,0,2,0.0,,0.5727
hsa-mir-4298,2,0,2,1.0,,0.2731
hsa-mir-4698,2,0,2,1.0,,0.333
hsa-mir-5696,2,1,1,0.5,1.0,0.7424
hsa-mir-6727,2,0,2,0.0,,0.5239
hsa-mir-12122,2,0,2,0.0,,0.7298
hsa-mir-378e,2,0,2,1.0,,0.1573
hsa-mir-4724,2,1,1,0.5,0.0,0.8775
hsa-mir-619,2,2,0,1.0,,0.8175
hsa-mir-1322,2,0,2,0.5,,0.4729
hsa-mir-1197,2,2,0,1.0,,0.9761
hsa-mir-5681b,2,0,2,1.0,,0.2021
hsa-mir-20a,2,2,0,0.5,,0.5011
hsa-mir-548a-3,2,1,1,0.5,0.0,0.4533
hsa-mir-4526,2,0,2,0.5,,0.6624
hsa-mir-4540,2,0,2,1.0,,0.3323
hsa-mir-187,2,0,2,0.0,,0.6
hsa-mir-5197,2,0,2,1.0,,0.2444
hsa-mir-4516,2,0,2,0.5,,0.5089
hsa-mir-5706,2,0,2,1.0,,0.2535
hsa-mir-596,2,0,2,1.0,,0.2898
hsa-mir-4642,2,0,2,1.0,,0.3939
hsa-mir-1302-1,2,0,2,0.0,,0.7181
hsa-mir-18a,2,2,0,0.0,,0.3292
hsa-mir-1913,2,2,0,0.0,,0.383
hsa-mir-181b-2,2,2,0,0.0,,0.2972
hsa-mir-7844,2,0,2,1.0,,0.4508
hsa-mir-3116-2,2,0,2,1.0,,0.2438
hsa-mir-584,2,2,0,0.0,,0.3588
hsa-mir-599,2,2,0,1.0,,0.5165
hsa-mir-4479,2,0,2,1.0,,0.4422
hsa-mir-944,2,0,2,0.0,,0.8414
hsa-mir-7843,2,0,2,1.0,,0.4525
hsa-mir-548aj-2,2,0,2,1.0,,0.4977
hsa-mir-30c-1,2,2,0,1.0,,0.5153
hsa-mir-6511a-4,2,0,2,1.0,,0.3564
hsa-mir-212,2,0,2,1.0,,0.3903
hsa-mir-7854,2,0,2,1.0,,0.1716
hsa-mir-891b,2,1,1,0.5,1.0,0.7864
hsa-mir-561,2,2,0,0.0,,0.1924
hsa-mir-203a,2,2,0,1.0,,0.5566
hsa-mir-526b,2,2,0,1.0,,0.793
hsa-mir-1283-1,2,2,0,1.0,,0.9862
hsa-mir-937,2,2,0,1.0,,0.573
hsa-mir-219a-1,2,2,0,0.5,,0.4953
hsa-mir-7106,2,1,1,0.5,0.0,0.2854
hsa-mir-4656,2,1,1,0.5,1.0,0.2824
hsa-mir-302d,2,1,1,0.0,0.0,0.4706
hsa-mir-519a-2,2,2,0,1.0,,0.99
hsa-mir-6765,2,1,1,0.5,1.0,0.5693
hsa-mir-6839,2,0,2,0.0,,0.8769
hsa-mir-1224,2,2,0,0.0,,0.4788
hsa-mir-4442,2,0,2,1.0,,0.2322
hsa-mir-4259,2,2,0,0.0,,0.3128
hsa-mir-4514,2,0,2,0.5,,0.4957
hsa-mir-548t,2,0,2,1.0,,0.1546
hsa-mir-7158,2,0,2,1.0,,0.2951
hsa-mir-1184-1,2,2,0,0.0,,0.4475
hsa-mir-2682,2,0,2,0.0,,0.887
hsa-mir-3663,2,0,2,0.0,,0.7006
hsa-mir-4645,2,0,2,0.0,,0.6397
hsa-mir-3167,2,1,1,0.5,1.0,0.6448
hsa-mir-4707,2,0,2,0.0,,0.5424
hsa-mir-4781,2,0,2,0.0,,0.6943
hsa-mir-769,2,0,2,0.0,,0.6677
hsa-mir-760,2,2,0,0.0,,0.263
hsa-mir-381,2,2,0,1.0,,0.8596
hsa-mir-657,2,2,0,1.0,,0.6111
hsa-mir-6077,2,0,2,0.0,,0.5308
hsa-mir-2909,2,0,2,1.0,,0.356
hsa-mir-12118,2,0,2,1.0,,0.4002
hsa-mir-449c,2,1,1,0.5,0.0,0.6088
hsa-mir-4297,2,0,2,0.0,,0.5486
hsa-mir-1306,2,2,0,1.0,,0.6319
hsa-mir-335,2,2,0,0.0,,0.296
hsa-mir-6739,2,0,2,1.0,,0.141
hsa-mir-432,2,2,0,1.0,,0.9096
hsa-mir-124-1,2,2,0,1.0,,0.6226
hsa-mir-146b,2,1,1,1.0,1.0,0.4365
hsa-mir-3683,2,0,2,0.0,,0.5831
hsa-mir-4452,2,0,2,0.0,,0.5504
